ric|sdate|edate|pric|exch|code
CFTU6|2016-06-03|2016-08-10|CFT|CFF|T1609
CFTZ6|2016-08-11|2016-11-10|CFT|CFF|T1612
CFTH7|2016-11-01|2017-01-24|CFT|CFF|T1703
CFTM7|2017-01-25|2017-05-10|CFT|CFF|T1706
CFTU7|2017-05-11|2017-08-09|CFT|CFF|T1709
CFTZ7|2017-08-10|2017-11-12|CFT|CFF|T1712
CFTH8|2017-11-13|2018-01-24|CFT|CFF|T1803
CFTM8|2018-01-25|2018-05-21|CFT|CFF|T1806
CFTU8|2018-05-22|2018-08-16|CFT|CFF|T1809
CFTZ8|2018-08-17|2018-11-26|CFT|CFF|T1812
CTFH5|2014-11-05|2015-02-05|CTF|CFF|TF1503
CTFM5|2015-02-06|2015-05-18|CTF|CFF|TF1506
CTFU5|2015-05-19|2015-08-20|CTF|CFF|TF1509
CTFZ5|2015-08-21|2015-11-26|CTF|CFF|TF1512
CTFH6|2015-11-25|2016-02-22|CTF|CFF|TF1603
CTFM6|2016-02-23|2016-05-10|CTF|CFF|TF1606
CTFU6|2016-05-11|2016-08-15|CTF|CFF|TF1609
CTFZ6|2016-08-16|2016-11-14|CTF|CFF|TF1612
CTFH7|2016-11-15|2017-02-06|CTF|CFF|TF1703
CTFM7|2017-02-07|2017-05-11|CTF|CFF|TF1706
CTFU7|2017-05-12|2017-08-11|CTF|CFF|TF1709
CTFZ7|2017-08-14|2017-11-12|CTF|CFF|TF1712
CTFH8|2017-11-12|2018-02-12|CTF|CFF|TF1803
SHAUM6|2015-11-15|2016-05-05|SHAU|SHF|AU1606
SHAUZ6|2016-05-06|2016-11-11|SHAU|SHF|AU1612
SHAUM7|2016-11-14|2017-05-08|SHAU|SHF|AU1706
SHAUZ7|2017-05-09|2017-11-15|SHAU|SHF|AU1712
SHAUM8|2017-11-16|2018-05-08|SHAU|SHF|AU1806
CICM6|2016-06-03|2016-06-15|CIC|CFF|IC1605
CICN6|2016-06-16|2016-07-14|CIC|CFF|IC1607
CICQ6|2016-07-15|2016-08-17|CIC|CFF|IC1608
CICU6|2016-08-18|2016-09-13|CIC|CFF|IC1609
CICV6|2016-09-14|2016-10-19|CIC|CFF|IC1610
CICX6|2016-10-20|2016-11-16|CIC|CFF|IC1611
CICZ6|2016-11-17|2016-12-14|CIC|CFF|IC1612
CICF7|2016-12-15|2017-01-18|CIC|CFF|IC1701
CICG7|2017-01-19|2017-02-15|CIC|CFF|IC1702
CICH7|2017-02-16|2017-03-15|CIC|CFF|IC1703
CICJ7|2017-03-16|2017-04-19|CIC|CFF|IC1704
CICK7|2017-04-20|2017-05-17|CIC|CFF|IC1705
CICM7|2017-05-18|2017-06-14|CIC|CFF|IC1706
CICN7|2017-06-15|2017-07-20|CIC|CFF|IC1707
CICQ7|2017-07-21|2017-08-17|CIC|CFF|IC1708
CICU7|2017-08-18|2017-09-14|CIC|CFF|IC1709
CICV7|2017-09-15|2017-10-19|CIC|CFF|IC1710
CICX7|2017-10-20|2017-11-16|CIC|CFF|IC1711
CICZ7|2017-11-17|2017-12-14|CIC|CFF|IC1712
CICF8|2017-12-15|2018-01-18|CIC|CFF|IC1801
CICG8|2018-01-19|2018-02-21|CIC|CFF|IC1802
CICH8|2018-02-22|2018-03-15|CIC|CFF|IC1803
CICJ8|2018-03-16|2018-04-19|CIC|CFF|IC1804
CICK8|2018-04-20|2018-05-17|CIC|CFF|IC1805
CICM8|2018-05-18|2018-06-14|CIC|CFF|IC1806
CICN8|2018-06-15|2018-07-19|CIC|CFF|IC1807
CICQ8|2018-07-20|2018-08-16|CIC|CFF|IC1808
CICU8|2018-08-17|2018-09-20|CIC|CFF|IC1809
CICV8|2018-09-21|2018-10-18|CIC|CFF|IC1810
CIFF6|2015-12-17|2016-01-13|CIF|CFF|IF1601
CIFG6|2016-01-14|2016-02-14|CIF|CFF|IF1602
CIFH6|2016-02-15|2016-03-16|CIF|CFF|IF1603
CIFJ6|2016-03-17|2016-04-13|CIF|CFF|IF1604
CIFK6|2016-04-14|2016-05-18|CIF|CFF|IF1605
CIFM6|2016-05-19|2016-06-15|CIF|CFF|IF1606
CIFN6|2016-06-16|2016-07-13|CIF|CFF|IF1607
CIFQ6|2016-07-14|2016-08-17|CIF|CFF|IF1608
CIFU6|2016-08-18|2016-09-13|CIF|CFF|IF1609
CIFV6|2016-09-14|2016-10-19|CIF|CFF|IF1610
CIFX6|2016-10-20|2016-11-16|CIF|CFF|IF1611
CIFZ6|2016-11-17|2016-12-14|CIF|CFF|IF1612
CIFF7|2016-12-15|2017-01-18|CIF|CFF|IF1701
CIFG7|2017-01-19|2017-02-15|CIF|CFF|IF1702
CIFH7|2017-02-16|2017-03-15|CIF|CFF|IF1703
CIFJ7|2017-03-16|2017-04-19|CIF|CFF|IF1704
CIFK7|2017-04-20|2017-05-17|CIF|CFF|IF1705
CIFM7|2017-05-18|2017-06-14|CIF|CFF|IF1706
CIFN7|2017-06-15|2017-07-20|CIF|CFF|IF1707
CIFQ7|2017-07-21|2017-08-17|CIF|CFF|IF1708
CIFU7|2017-08-18|2017-09-14|CIF|CFF|IF1709
CIFV7|2017-09-15|2017-10-19|CIF|CFF|IF1710
CIFX7|2017-10-20|2017-11-16|CIF|CFF|IF1711
CIFZ7|2017-11-17|2017-12-14|CIF|CFF|IF1712
CIFF8|2017-12-15|2018-01-18|CIF|CFF|IF1801
CIFG8|2018-01-19|2018-02-21|CIF|CFF|IF1802
CIFH8|2018-02-22|2018-03-15|CIF|CFF|IF1803
CIFJ8|2018-03-16|2018-04-19|CIF|CFF|IF1804
CIFK8|2018-04-20|2018-05-17|CIF|CFF|IF1805
CIFM8|2018-05-18|2018-06-14|CIF|CFF|IF1806
CIFN8|2018-06-15|2018-07-19|CIF|CFF|IF1807
CIFQ8|2018-07-20|2018-08-16|CIF|CFF|IF1808
CIFU8|2018-08-17|2018-09-20|CIF|CFF|IF1809
CIHM6|2016-06-03|2016-06-16|CIH|CFF|IH1606
CIHN6|2016-06-17|2016-07-14|CIH|CFF|IH1607
CIHQ6|2016-07-15|2016-08-17|CIH|CFF|IH1608
CIHU6|2016-08-18|2016-09-18|CIH|CFF|IH1609
CIHV6|2016-09-19|2016-10-19|CIH|CFF|IH1610
CIHX6|2016-10-20|2016-11-16|CIH|CFF|IH1611
CIHZ6|2016-11-17|2016-12-14|CIH|CFF|IH1612
CIHF7|2016-12-15|2017-01-18|CIH|CFF|IH1701
CIHG7|2017-01-19|2017-02-14|CIH|CFF|IH1702
CIHH7|2017-02-15|2017-03-15|CIH|CFF|IH1703
CIHJ7|2017-03-16|2017-04-20|CIH|CFF|IH1704
CIHK7|2017-04-21|2017-05-17|CIH|CFF|IH1705
CIHM7|2017-05-18|2017-06-14|CIH|CFF|IH1706
CIHN7|2017-06-15|2017-07-20|CIH|CFF|IH1707
CIHQ7|2017-07-21|2017-08-17|CIH|CFF|IH1708
CIHU7|2017-08-18|2017-09-14|CIH|CFF|IH1709
CIHV7|2017-09-15|2017-10-19|CIH|CFF|IH1710
CIHX7|2017-10-20|2017-11-16|CIH|CFF|IH1711
CIHZ7|2017-11-17|2017-12-14|CIH|CFF|IH1712
CIHF8|2017-12-15|2018-01-18|CIH|CFF|IH1801
CIHG8|2018-01-19|2018-02-21|CIH|CFF|IH1802
CIHH8|2018-02-22|2018-03-15|CIH|CFF|IH1803
CIHJ8|2018-03-16|2018-04-19|CIH|CFF|IH1804
CIHK8|2018-04-20|2018-05-17|CIH|CFF|IH1805
CIHM8|2018-05-18|2018-06-14|CIH|CFF|IH1806
CIHN8|2018-06-15|2018-07-19|CIH|CFF|IH1807
CIHQ8|2018-07-20|2018-08-16|CIH|CFF|IH1808
CIHU8|2018-08-17|2018-09-20|CIH|CFF|IH1809
CIHV8|2018-09-21|2018-10-18|CIH|CFF|IH1810
DCIOK6|2015-11-24|2016-03-21|DCIO|DCE|I1605
DCIOU6|2016-03-22|2016-08-11|DCIO|DCE|I1609
DCIOF7|2016-08-12|2016-11-25|DCIO|DCE|I1701
DCIOK7|2016-11-28|2017-03-21|DCIO|DCE|I1705
DCIOU7|2017-03-22|2017-08-01|DCIO|DCE|I1709
DCIOF8|2017-08-02|2017-11-20|DCIO|DCE|I1801
SCFG6|2015-12-13|2016-01-05|SCF|SHF|CU1602
SCFH6|2016-01-06|2016-02-15|SCF|SHF|CU1603
SCFJ6|2016-02-16|2016-03-02|SCF|SHF|CU1604
SCFK6|2016-03-03|2016-03-31|SCF|SHF|CU1605
SCFM6|2016-04-01|2016-05-03|SCF|SHF|CU1606
SCFN6|2016-05-04|2016-05-31|SCF|SHF|CU1607
SCFQ6|2016-06-01|2016-06-30|SCF|SHF|CU1608
SCFU6|2016-07-01|2016-08-02|SCF|SHF|CU1609
SCFV6|2016-08-03|2016-09-04|SCF|SHF|CU1610
SCFX6|2016-09-05|2016-10-10|SCF|SHF|CU1611
SCFZ6|2016-10-11|2016-11-01|SCF|SHF|CU1612
SCFF7|2016-11-02|2016-11-30|SCF|SHF|CU1701
SCFG7|2016-12-01|2017-12-18|SCF|SHF|CU1702
SCFH7|2016-12-29|2017-02-12|SCF|SHF|CU1703
SCFJ7|2017-02-13|2017-03-10|SCF|SHF|CU1704
SCFK7|2017-03-13|2017-04-11|SCF|SHF|CU1705
SCFM7|2017-04-12|2017-05-09|SCF|SHF|CU1706
SCFN7|2017-05-10|2017-06-06|SCF|SHF|CU1707
SCFQ7|2017-06-07|2017-07-04|SCF|SHF|CU1708
SCFU7|2017-07-05|2017-08-03|SCF|SHF|CU1709
SCFV7|2017-08-04|2017-09-04|SCF|SHF|CU1710
DCJK6|2015-11-25|2016-03-28|DCJ|DCE|J1605
DCJU6|2016-03-29|2016-08-15|DCJ|DCE|J1609
DCJF7|2016-08-16|2016-12-01|DCJ|DCE|J1701
DCJK7|2016-12-02|2017-03-30|DCJ|DCE|J1705
DCJU7|2017-03-31|2017-08-02|DCJ|DCE|J1709
DCJF8|2017-08-03|2017-11-20|DCJ|DCE|J1801
DJMK6|2015-11-25|2016-03-30|DJM|DCE|JM1605
DJMU6|2016-03-31|2016-08-14|DJM|DCE|JM1609
DJMF7|2016-08-15|2016-11-29|DJM|DCE|JM1701
DJMK7|2016-11-30|2017-03-30|DJM|DCE|JM1705
DJMU7|2017-03-31|2017-08-03|DJM|DCE|JM1709
DJMF8|2017-08-04|2017-11-20|DJM|DCE|JM1801
DPVK6|2015-10-26|2016-03-27|DPV|DCE|V1605
DPVU6|2016-03-28|2016-08-24|DPV|DCE|V1609
DPVF7|2016-08-25|2016-12-01|DPV|DCE|V1701
DPVK7|2016-12-02|2017-04-10|DPV|DCE|V1705
DPVU7|2017-04-11|2017-08-09|DPV|DCE|V1709
DPVF8|2017-08-10|2017-11-20|DPV|DCE|V1801
SZNG6|2015-12-02|2016-01-05|SZN|SHF|ZN1602
SZNH6|2016-01-06|2016-02-03|SZN|SHF|ZN1603
SZNJ6|2016-02-04|2016-03-02|SZN|SHF|ZN1604
SZNK6|2016-03-03|2016-04-01|SZN|SHF|ZN1605
SZNM6|2016-04-05|2016-05-04|SZN|SHF|ZN1606
SZNN6|2016-05-05|2016-06-01|SZN|SHF|ZN1607
SZNQ6|2016-06-02|2016-07-01|SZN|SHF|ZN1608
SZNU6|2016-07-04|2016-08-02|SZN|SHF|ZN1609
SZNV6|2016-08-03|2016-09-02|SZN|SHF|ZN1610
SZNX6|2016-09-05|2016-10-10|SZN|SHF|ZN1611
SZNZ6|2016-10-11|2016-11-01|SZN|SHF|ZN1612
SZNF7|2016-11-02|2016-12-02|SZN|SHF|ZN1701
SZNG7|2016-12-05|2017-01-03|SZN|SHF|ZN1702
SZNH7|2016-01-04|2017-02-15|SZN|SHF|ZN1703
SZNJ7|2017-02-16|2017-03-09|SZN|SHF|ZN1704
SZNK7|2017-03-10|2017-04-11|SZN|SHF|ZN1705
SZNM7|2017-04-12|2017-05-12|SZN|SHF|ZN1706
SZNN7|2017-05-15|2017-06-12|SZN|SHF|ZN1707
SZNQ7|2017-06-13|2017-07-10|SZN|SHF|ZN1708
SZNU7|2017-07-11|2017-08-08|SZN|SHF|ZN1709
SZNV7|2017-08-09|2017-09-04|SZN|SHF|ZN1710
DCCK6|2015-09-18|2016-02-19|DCC|DCE|C1605
DCCU6|2016-02-22|2016-03-29|DCC|DCE|C1609
DCCF7|2016-03-30|2016-11-21|DCC|DCE|C1701
DCCK7|2016-11-22|2017-03-13|DCC|DCE|C1705
DCCU7|2017-03-14|2017-08-02|DCC|DCE|C1709
DCCF8|2017-08-03|2017-12-06|DCC|DCE|C1801
DCCK8|2017-12-07|2018-03-01|DCC|DCE|C1805
CSRK6|2015-12-02|2016-03-09|CSR|ZCE|SR1605
CSRU6|2016-03-10|2016-07-25|CSR|ZCE|SR1609
CSRF7|2016-07-26|2016-12-01|CSR|ZCE|SR1701
CSRK7|2016-12-02|2017-03-30|CSR|ZCE|SR1705
CSRU7|2017-03-31|2017-07-25|CSR|ZCE|SR1709
CSRF8|2017-07-26|2017-11-20|CSR|ZCE|SR1801
DBYK6|2015-11-22|2016-03-09|DBY|DCE|Y1605
DBYU6|2016-03-10|2016-07-14|DBY|DCE|Y1609
DBYF7|2016-07-15|2016-11-22|DBY|DCE|Y1701
DBYK7|2016-11-22|2017-03-20|DBY|DCE|Y1705
DBYU7|2017-03-21|2017-07-27|DBY|DCE|Y1709
DBYF8|2017-07-28|2017-11-20|DBY|DCE|Y1801
DCOSK6|2015-11-17|2016-03-21|DCOS|DCE|CS1605
DCOSU6|2016-03-22|2016-07-19|DCOS|DCE|CS1609
DCOSF7|2016-07-20|2016-11-24|DCOS|DCE|CS1701
DCOSK7|2016-11-25|2017-03-22|DCOS|DCE|CS1705
DCOSU7|2017-03-23|2017-08-07|DCOS|DCE|CS1709
DCOSF8|2017-08-08|2017-12-04|DCOS|DCE|CS1801
DCOSK8|2017-12-05|2018-03-01|DCOS|DCE|CS1805
CZCK6|2015-11-16|2016-04-06|CZC|DCE|ZC1605
CZCU6|2016-04-07|2016-08-15|CZC|DCE|ZC1609
CZCF7|2016-08-16|2016-12-05|CZC|DCE|ZC1701
CZCK7|2016-12-06|2017-04-18|CZC|DCE|ZC1705
CZCU7|2017-04-19|2017-08-09|CZC|DCE|ZC1709
CZCF8|2017-08-10|2017-12-19|CZC|DCE|ZC1801
CZCK8|2017-12-20|2018-03-01|CZC|DCE|ZC1805
